locus_tag,gene,mRNA_level
b1078,flgG,269.846
b1079,flgH,99.811
b1080,flgI,247.413
b1081,flgJ,397.669
b1082,flgK,189.452
b1083,flgL,299.971
b1084,rne,1548.87
b1086,rluC,943.96
b1087,yceF,803.606
b1088,yceD,5978.22
b1089,rpmF,4090.26
b1090,plsX,2498.99
b1091,fabH,3140.63
b1092,fabD,3554.68
b1093,fabG,4712.28
b1094,acpP,6826.66
b1095,fabF,667.651
b1096,pabC,473.977
b1097,yceG,673.047
b1098,tmk,943.021
b1099,holB,540.672
b1100,ycfH,1081.96
b1101,ptsG,3839.15
b1102,fhuE,76.1279
b1103,ycfF,2073.57
b1104,ycfL,2187.67
b1105,ycfM,1698.49
b1106,ycfN,2096.32
b1107,nagZ,1869.16
b1108,ycfP,2460.55
b1109,ndh,586.91
b1110,ycfJ,176.32
b1111,ycfQ,821.769
b1112,ycfR,960.012
b1113,ycfS,421.982
b1114,mfd,912.142
b1115,ycfT,102.296
b1116,ycfU,797.881
b1117,ycfV,580.223
b1118,ycfW,899.058
b1119,ycfX,1038.51
b1120,cobB,1743.23
b1121,ycfZ,38.9046
b1122,ymfA,196.406
b1123,potD,2673.62
b1124,potC,2315.49
b1125,potB,750.941
b1126,potA,1496.07
b1127,pepT,499.659
b1128,ycfD,1392.1
b1129,phoQ,728.758
b1130,phoP,2508.81
b1131,purB,2911.78
b1132,ycfC,1947.81
b1133,trmU,1764.03
b1134,ymfB,597.81
b1135,ymfC,495.543
b1136,icdA,8134.54
b1137,ymfD,34.9497
b1138,ymfE,293.55
b1139,lit,47.7904
b1140,intE,232.022
b1142,ymfH,154.126
b1143,ymfI,940.951
b1144,ymfJ,177.533
